"grid_type","shot_zone_basic","shot_zone_area","shot_zone_range","fga","fgm","fg_pct","shot_value"
"League Averages","Above the Break 3","Center(C)","24+ ft.",399,119,0.298,3
"League Averages","Above the Break 3","Left Side Center(LC)","24+ ft.",798,269,0.337,3
"League Averages","Above the Break 3","Right Side Center(RC)","24+ ft.",764,262,0.343,3
"League Averages","Backcourt","Back Court(BC)","Back Court Shot",31,1,0.032,3
"League Averages","In The Paint (Non-RA)","Center(C)","8-16 ft.",350,136,0.389,2
"League Averages","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.",840,337,0.401,2
"League Averages","In The Paint (Non-RA)","Left Side(L)","8-16 ft.",110,49,0.445,2
"League Averages","In The Paint (Non-RA)","Right Side(R)","8-16 ft.",133,61,0.459,2
"League Averages","Left Corner 3","Left Side(L)","24+ ft.",500,211,0.422,3
"League Averages","Mid-Range","Center(C)","16-24 ft.",370,153,0.414,2
"League Averages","Mid-Range","Center(C)","8-16 ft.",117,46,0.393,2
"League Averages","Mid-Range","Left Side Center(LC)","16-24 ft.",545,210,0.385,2
"League Averages","Mid-Range","Left Side(L)","8-16 ft.",686,237,0.345,2
"League Averages","Mid-Range","Left Side(L)","16-24 ft.",652,267,0.41,2
"League Averages","Mid-Range","Right Side Center(RC)","16-24 ft.",588,220,0.374,2
"League Averages","Mid-Range","Right Side(R)","16-24 ft.",539,206,0.382,2
"League Averages","Mid-Range","Right Side(R)","8-16 ft.",629,234,0.372,2
"League Averages","Restricted Area","Center(C)","Less Than 8 ft.",3791,2243,0.592,2
"League Averages","Right Corner 3","Right Side(R)","24+ ft.",390,149,0.382,3
"League Averages","Above the Break 3","Back Court(BC)","Back Court Shot",7,0,0,3
"League Averages","Above the Break 3","Center(C)","24+ ft.",485,149,0.307,3
"League Averages","Above the Break 3","Left Side Center(LC)","24+ ft.",903,308,0.341,3
"League Averages","Above the Break 3","Right Side Center(RC)","24+ ft.",771,276,0.358,3
"League Averages","Backcourt","Back Court(BC)","Back Court Shot",36,0,0,3
"League Averages","In The Paint (Non-RA)","Center(C)","8-16 ft.",467,197,0.422,2
"League Averages","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.",891,369,0.414,2
"League Averages","In The Paint (Non-RA)","Left Side(L)","8-16 ft.",140,64,0.457,2
"League Averages","In The Paint (Non-RA)","Right Side(R)","8-16 ft.",172,72,0.419,2
"League Averages","Left Corner 3","Left Side(L)","24+ ft.",422,165,0.391,3
"League Averages","Mid-Range","Center(C)","16-24 ft.",486,183,0.377,2
